ID,Category and Subcategory,Tea name,50g,100g,250g,Description
1,Schwarztee - Ohne_Aroma - Darjeeling,Darjeeling OP Longview,2,4,9,"milder, aromatischer sf"
2,Schwarztee - Ohne_Aroma - Darjeeling,Darjeeling FTGFOP ff Ambootia,3.45,6.9,16.25,"vollblumig, spritzig in der Tasse"
3,Schwarztee - Ohne_Aroma - Darjeeling,Bio Darjeeling FTGFOP ff Aktiontee,3.75,6.5,10,"Frischer, duftiger Geschmack, helle Tasse, Bio First Flush"
4,Schwarztee - Ohne_Aroma - Darjeeling,Bio Darjeeling Snowview FTGFOP ff,4.25,7.5,17.5,"Vollblumiger, hocharomatischer Bio First Flush"
5,Schwarztee - Ohne_Aroma - Darjeeling,Bio Darjeeling Flugtee ff FTGFOP,6.9,12.9,31.25,"Hocharomatischer first flush, blumig u. spritzig im Geschmack"
,,,,,,
6,Schwarztee - Ohne_Aroma - Assam,Assam FOP Bukhial,2,4,9,Mildwürziger Blatt-tee
7,Schwarztee - Ohne_Aroma - Assam,Assam GFOP Malty „Herrentee“,2.75,4.8,11,"Malziger, herber Herrentee"
8,Schwarztee - Ohne_Aroma - Assam,Assam TGFOP Khomtaie,3.5,6.9,16.25,"Stark getippter Tee, aromatisch und würzig"
9,Schwarztee - Ohne_Aroma - Assam,Assam FTGFOP Meleng,4.7,9,22,"Kräftiger Assam, exquisites Aroma"
,,,,,,
10,Schwarztee - Ohne_Aroma - Ceylon,Ceylon OP Medium,2,4,9,Milder aromatische Tasse
,,,,,,
11,Schwarztee - Ohne_Aroma - Afrika,Kenya GFBOP,2.5,4,9,"Zwischen Blatt und Broken, kräftig-würziger Tee"
,,,,,,
12,Schwarztee - Ohne_Aroma - Oolong,Formosa Fine Oolong,2.75,4.5,10,"Milder, leichter Oolongtee aus Taiwan"
13,Schwarztee - Ohne_Aroma - Oolong,Himmels Oolong,4.95,8.9,21.25,"Feinster, hocharomatischer Oolong"
14,Schwarztee - Ohne_Aroma - Oolong,Milky Oolong,4.95,8.9,21.25,Der wird unter Milchdämpfen gewelkt
15,Schwarztee - Ohne_Aroma - Oolong,Oolong Orangenblüten,2.75,4.5,10,halbfrementierter Tee mit Orangenblüten und Aroma
,,,,,,
16,Schwarztee - Ohne_Aroma - aus_China,Keemun,2.25,3.9,9,Milder Schwarztee mit wenig Teein
17,Schwarztee - Ohne_Aroma - aus_China,Yünan Gold GFOP,2.75,4.5,9,Würzig aromatischer Geschmack
18,Schwarztee - Ohne_Aroma - aus_China,Tarry Lapsang Souchong,2.8,5,11,Kräftiger Rauchtee
,,,,,,
19,Schwarztee - Ohne_Aroma - ohne_teein,Darjeeling Infree OP Blatt,4,7.9,18.75,entkoffeinierter Blatt Tee
20,Schwarztee - Ohne_Aroma - ohne_teein,Ceylan Infree OP Blatt,3.5,6.5,15,entkoffeinierter Blatt Tee
,,,,,,
21,Schwarztee - Ohne_Aroma - Mischungen,Golden Nepal,2,3.9,9,"Kräftig, würzige Darjeeling - Assam Mischung"
22,Schwarztee - Ohne_Aroma - Mischungen,Ostfriesen Blatt,2,3.9,9,"Assam – Ceylon Mischung, leicht malzig im Geschmack"
23,Schwarztee - Ohne_Aroma - Mischungen,Ostfriesen Premium,3,5.5,12.5,"Assam – Ceylon Mischung, leicht malzig im Geschmack"
24,Schwarztee - Ohne_Aroma - Mischungen,Ostfriesen Sonntagstee,2.2,4,9,Würziger Ostfriesentee mit feiner Vanille Note
25,Schwarztee - Ohne_Aroma - Mischungen,English Breakfast,2,3.9,9,"milder, Assam - Cylon – Darjeeling –Mischung, würziger Blatt Tee"
26,Schwarztee - Ohne_Aroma - Mischungen,Eckernförder Ostseegold,2,3.9,9,"Ostfriesen Blatt, Sonnenblumenblüten, Pfirsichduft"
27,Schwarztee - Ohne_Aroma - Mischungen,Eckernförder Sommerfrische,2,3.9,9,"Ostfriesen Blatt, Sonnenblumenblüten, Pfirsichduft"
,,,,,,
28,Schwarztee - Aromatisiert,Earl Grey,2,3.9,9,"schwarzer Tee, Aroma"
29,Schwarztee - Aromatisiert,Earl Grey Blue Star mit Darjeeling,2.3,4.5,10,"Darjeeling Tee, Kornblumenblüten, Aroma"
30,Schwarztee - Aromatisiert,Madame Grey,2.3,4,9,"Schwarzer Tee, Kornblumenblüten, Orangenschalen, Aroma"
31,Schwarztee - Aromatisiert,Azar Tee,2,3.9,9,"Unsere Hausmischung aus Darjeeling, Assam und Earl Grey"
32,Schwarztee - Aromatisiert,English-Karamell,2,3.9,9,"schwarzer Tee, Karamellstücke, Aroma"
33,Schwarztee - Aromatisiert,Sahne-Karamell,2,3.9,9,"Schwarzer Tee, Karamellstücke, Aroma"
34,Schwarztee - Aromatisiert,Erdbeer-Sahne,2,3.9,9,"schwarzer Tee, Erdbeerblätter, Erdbeerstücke, Aroma"
35,Schwarztee - Aromatisiert,Marzipan,2,3.9,9,"schwarzer Tee, Mandelstücke, Aroma"
36,Schwarztee - Aromatisiert,Orange mit Schalen,2,3.9,9,"Schwarzer Tee, Orangenschalen, Aroma"
37,Schwarztee - Aromatisiert,Rhababer-Sahne,2,3.5,9,"Schwarzer Tee, Aroma"
38,Schwarztee - Aromatisiert,Vanille,2,3.9,9,"Schwarzer Tee, Vanilleschoten, Aroma"
39,Schwarztee - Aromatisiert,Lemon,2,3.9,9,"Schwarzer Tee, Zitronenschalen, Aroma"
40,Schwarztee - Aromatisiert,Wildkirsch,2,3.9,9,"Schwarzer Tee, Aroma"
41,Schwarztee - Aromatisiert,Sanddorn,2.3,4,9,"Schwarzer Tee, Sanddornbeeren, Saflorblüten, Vitamin C, Aroma"
42,Schwarztee - Aromatisiert,Chai Choco,2.3,4,9,"Schwarzer Tee,  Schokosplits, Mini Baiser, Süßholz, Zimt, Kandis, Kardamom, Ingwer, Nelken, schwarzer Pfeffer"
43,Schwarztee - Aromatisiert,Chai Rashne Hindra,3,5.5,12,"Schwarzer Tee, Zimt, Kandis, Kardamom, Ingwer, Nelken, schwarzer Pfeffer"
44,Schwarztee - Aromatisiert,1001 Nacht,2.3,4,9,"Schwarzer Tee, Mandel, Caramel u. Apfelstücke, Zimtrinde, Ingwer, Aroma"
45,Schwarztee - Aromatisiert,Zaubervogel,2.3,4,9,"Korinthen, Papaya, Mangostücke, Rosenblüten, Kornblumenblüten, Aroma"
46,Schwarztee - Aromatisiert,Weihnachtstee,2,3.9,9,"Zimt, Mandel, Nelken, Kornblumen, Saflorblüten, Aroma"
47,Schwarztee - Aromatisiert,Orangenplätzchen,2.3,4,9,"Apfel u. Zimtstücke, Koriander, Kardamom, rosa Pfefferkörner, Orangenspalten, 
Nelken, Aroma"
48,Schwarztee - Aromatisiert,Black Currant,2,3.9,9,"Schwarzer Tee, rote Johannisbeeren, Johannisblätter, Aroma"
50,Schwarztee - Aromatisiert,Zimt,2,3.9,9,"Schwarzer Tee, Zimtrinde, Aroma"
51,Schwarztee - Aromatisiert,Frische Brise,2,3.9,9,"Schwarzer Tee, Pfefferminze, Ohne_Aroma"
,,,,,,
52,Grüntee - Ohne_Aroma,Gunpowder,2.25,4,9,grau – grünes kugeliges Blatt; helle gelbliche Tasse
53,Grüntee - Ohne_Aroma,Chun Mee,2.4,4,9,"grau – grünes Blatt, herber Geschmack"
54,Grüntee - Ohne_Aroma,Sencha China,2.4,4,9,"Herber, aromatischer Grüntee"
55,Grüntee - Ohne_Aroma,Sencha entkoffeiniert,3.5,6.5,15.5,Grüner entkoffeinierter Sencha mit leicht herbem Geschmack
56,Grüntee - Ohne_Aroma,China Sencha Mokoto,3.5,6.5,12,"herber, aromatischer Tee, frischer belebender Geschmack"
57,Grüntee - Ohne_Aroma,Bio Japan Sencha Yamato,5.45,9.9,22,"flaches, dunkelgrünes Blatt, klassische Grünteetasse aus kbA "
58,Grüntee - Ohne_Aroma,Bio Darjeeling green Simpripani,3.5,6.9,16,"milder aromatischer Grüntee, weiche Tasse"
59,Grüntee - Ohne_Aroma,Bio China Kukicha aus kbA,5,9,"21,25","dunkelgrünes Nadelblatt mit hellen Blattrippen, frisches Aroma, wenig Teein und  Gerbstoffe"
60,Grüntee - Ohne_Aroma,Bio China Lung Ching,5.8,10.9,21.65,"Wenig bitter Stoffe, blumig, fruchtiger Geschmack, mildes leichtes Aroma, ebenso kalt wie warm "
61,Grüntee - Ohne_Aroma,Pi Lo Chun,4.5,9,21.8,"aromatischer, zarter, blumiger Tee, dunkles gekräuseltes Blatteine exquisite Spezialität für besondere Anlässe"
62,Grüntee - Ohne_Aroma,China Matcha,14.9,,,Pulverisierter japanischer Grüntee für die Teezeremonie in 50 g Silberdose
63,Grüntee - Ohne_Aroma,China Gyokuro,6.5,12.5,30,"Allfeinstes, dunkelgrünes, gepresstes Blatt"
64,Grüntee - Ohne_Aroma,Japan Gyokuro,13,25,61,Elegant-grünes Blatt in feiner Nadelform. Smaragdgrün leuchtendeTasse
65,Grüntee - Ohne_Aroma,Sweet Osmanthus,3.5,6.5,15.5,"Feiner, dunkelgrüner Tee versetz mit goldgelben Blüten des Osmanthusstrauches"
,,,,,,
66,Grüntee - Weißer_Tee,Pai Mu Tan Tippy,4.5,8,17.5,"weißer Tee, großes Blatt, weiche aromatische Tasse"
67,Grüntee - Weißer_Tee,White Hair,4.5,9,21.8,"milder weißer Tee mit zartem, blumigem Aroma"
,,,,,,
68,Grüntee - Aromatisiert,Jasmin,2.5,4,8,In China aromatisierter Tee mit Jasminblüten
69,Grüntee - Aromatisiert,Jasmin Chung Hao,3.5,6.5,15,"Feinherber Geschmack, für Jasminliebhaber ein Muss"
70,Grüntee - Aromatisiert,Coole Tasse,2.5,4.5,10,"Chun Mee, Lemongras, Minze, Saflor- und Orangenblüten, Aroma"
71,Grüntee - Aromatisiert,Pfirsich Sencha,2.5,4.5,10,"Sencha, Sonnenblumenblüten, Aroma"
72,Grüntee - Aromatisiert,Vanille Sencha,2.5,4.5,10,"Sencha, Vanillestücke, Aroma"
73,Grüntee - Aromatisiert,Winterfee,2.5,4.5,10,"Sencha, Mandeln, Orangenschalen, Zimt, Aroma"
74,Grüntee - Aromatisiert,Japanischer Kirschblüten-Tee,2.5,4.5,10,"Sencha, Kirschen, Aroma"
75,Grüntee - Aromatisiert,7 grüne Kostbarkeiten,2.5,5.5,12.5,"Sencha, Chun Mee, Gunpowder, Pai Mu Tan, Pi Lo Chun,Ananasstücke, Erdbeerstücke, Sonnenblumenblüten, Aroma"
76,Grüntee - Aromatisiert,Zauberflöte Sencha,2.5,4.5,10,"Grüntee Korinthen, Mango u. Papayastücke, Kornblumen u. Rosenblüten, Katzenpfötchen, Aroma"
77,Grüntee - Aromatisiert,Weißer Engel,3.5,6,12.5,"Sencha, Pai Mu Tan, Ananas, Lemongrass, Ginkoblätter, Rosenknospen gelb, Kokosflocken, Aroma"
78,Grüntee - Aromatisiert,White Cassis Dream,3,5.5,11.5,"Weißer Tee, schwarzer u. roter Johannisbeeren, Sonnenblumen u. -Kornblumenblüten, Lemongras, Melissenblätter, Aroma"
79,Grüntee - Aromatisiert,Ingwer Zitrone,2.5,4.5,10,"Sencha, Zitronenschale, Ingwer, Lemongras, Ginkoblätter, natürliches Zitronenaroma"
80,Grüntee - Aromatisiert,Ingwer Ananas,2.5,4.5,10,"Sencha, Ingwer Ananas und Aroma "
81,Grüntee - Aromatisiert,Frische Brise,2.5,4.5,10,"Grüner Sencha, Pfefferminze, natürliches Minzöl "
82,Grüntee - Aromatisiert,Wellness Oase (grüner Chai),3,5,10,"Sencha, Zimt, Kardamom, Ingwer, Orangenblüten, Sternanis, Nelken, sch. Pfeffer"
83,Grüntee - Aromatisiert,Sencha Orange,2.5,4.5,10,"Sencha, Orangenschalen, natürliches Aroma"
84,Grüntee - Aromatisiert,Grüner Eistee,2.5,4.5,10,"Grüner Tee, Zitronenschalen, Lemon Gras, natürliches AromaAls Basis: Hagebuttenschalen, Hibiskus, Apfelstücke (Alle aromatisierten Früchtetees )"
,,,,,,
85,Früchtetee,Früchte Dschungelblüte,2.1,4,9,"Basis, Ananas- u. Mangostücke, Malven- u. Sonnenblumenblüten und Aroma"
86,Früchtetee,Früchte Eckernförder Brandung,2.1,4,9,"Holunder u. Weinbeeren, Hibiskus u. Kornblumenblüten, Korinthen, Aroma"
87,Früchtetee,Früchte Pina Colada,2.1,4,9,"Früchte Basis, Ananas, Kokosraspel, Kokoschips, Aroma"
88,Früchtetee,Banane Kirsch,2.1,4,9,"Basis, Ananas, Papaya, Bananenstücke, Rosenblüten, Aroma"
89,Früchtetee,Erdbeer Sahne,2.1,4,9,"Basis, Erdbeerstücke, Aroma"
90,Früchtetee,(Rote Grütze) Eckernförder Grütze	,2.1,4,9,"Apfel, rote Bete, Korinthen, Johannisbeeren, Hagebutten, Holunderbeeren, Brombeeren, Heildelbeeren, Himbeeren, Rosenblütenblätter, Aroma"
91,Früchtetee,Früchte Winter Chai,2.45,3.9,9,"Basis, Zimt, Kandis, Kardamom, Ingwer, schwarzer u. roter Pfeffer, Nelken, Aroma"
92,Früchtetee,Gebrannte Mandel,2.1,4,9,"Apfel, Mandel, Rote Bete, Aroma "
93,Früchtetee,Kaminfeuer,2.1,4,9,"Basis, Kakaoschalen, Zimtrinde, Pfingstrosenblüten,  Aroma"
94,Früchtetee,Weihnachtstee Früchte,2.1,4,9,"Basis, Orangenschalen, Papayastücke, Zimt, Aroma"
95,Früchtetee,Adventstee Früchte,2.1,4,9,"Basis, Orangenschalen, Zimtrinde, Nelken, Aroma"
96,Früchtetee,Eckernförder Herbst,2.1,4,9,"Basis, Holunder u. Weinbeeren, Kornblumenblüten, Korinthen, Erdbeerscheiben, Brombeeren, Himbeere, Ananas, Kirschfruchtstücke, Karottenstücke, Aroma"
,,,,,,
97,Rooibush - Pur,Honey Bush,2,3.9,9,"Südafrikanischer Kräutertee, honigweiches, fruchtig- süßes Aroma"
98,Rooibush - Pur,Rooibush Massai-Tee,2,3.9,9,Kräutertee aus dem Südafrikanischen Cedar Gebirge
,,,,,,
99,Rooibush - Aromatisiert,Rooibush Sahne Karamell,2,3.9,9,"Rootbusch Tee, Karamellstücke, Aroma"
100,Rooibush - Aromatisiert,Rooibush Vanille,2,3.9,9,"Rooibush Tee, Vanilleschoten, Aroma"
101,Rooibush - Aromatisiert,Rooibush Zaubervogel,2,3.9,9,"Korinthen, Papaya, Ananasstücke, Rosenblüten, Kornblumenblüten, Aroma"
102,Rooibush - Aromatisiert,Rooibush Chai Tee,2,3.9,9,"Rooibush, Kardamom, Ingwer, Nelken, rosa- u. schwarzer Pfeffer, Aroma"
103,Rooibush - Aromatisiert,Rooibush Schoko Chili,2.4,3.9,9,"Rooibush, Apfel u. Chilistücke, Schokosplits, rosa Pfeffer, Kardamom, Sonnenblumenblüten, Aroma"
104,Rooibush - Aromatisiert,Rooibush Sanddorn Kirsch,2.25,3.9,9,"Rooibushtee, Sanddorn, Kirscharoma"
105,Rooibush - Aromatisiert,Rooibush Erdbeer-Sahne,2.25,3.9,9,"Rooibush, Erdbeerstücke, Aroma"
106,Rooibush - Aromatisiert,Rooibush Marzipan,2.25,3.9,9,"Rooibush, Mandeln, Katzenpfötchen, Aroma"
107,Rooibush - Aromatisiert,Rooibush Ingwer – Lemon,2,3.9,9,"Rooibush, Lemongras, Zitonenschalen, Aroma"
108,Rooibush - Aromatisiert,Rooibush Orange/Kaktusfeige,2,3.9,9,"Rooibush, Papaya, Fruchtig weicher Orangen Kaktusfeigen Geschmack, Süßholzwurzel, Aroma"
109,Rooibush - Aromatisiert,Rooibush Weihnachtsduft,2.4,3.9,9,"Apfel u. Zimt Stücke, Koriander, Stern Anis, Nelken, Orangenspalten, rote Pfefferkörner"
110,Rooibush - Aromatisiert,Rooibush Cool Mountain,2,3.9,9,"grüner Rooibush, Lemongras, Zitronenschalen, Kornblumenblüten, Ginkoblätter, Orangenschalen, Minze, Aroma "
111,Rooibush - Aromatisiert,Rooibush Kaktusfeige,2,3.9,9,"Rooibush, Feigen-und Kiwistücke, Rosenknospen, Brombeerblätter, Aroma"
,,,,,,
112,Kräutertee,Schietwetter Tee,2.5,4,9,"Brombeerblätter, Himbeerblätter, Sonnenblumenblüten, Fenchel, Anis, Hagebuttenschalen, Apfelwürfel, Melissenblätter, Spitzwegerichblätter, Holunderblüten, Pfefferminze, Aroma"
113,Kräutertee,Bio Kräutermischung Entspann Dich,2.5,4.5,10,"Eine biologische Kräutermischung aus Misterkraut, Brenneselblättern, Bohnenschalen, Lemongras, Birkenblättern, Weißdornbeeren, Johanniskraut, natürliches Aroma. Orangengeschmack"
114,Kräutertee,Bio Kräutermischung Bleib Fit,2.5,4.5,10,"Eine biologische Kräutermischung aus Korinander, Brenneselblättern, Kardamom, Nelken, Sonnenblumenblüten, Bohnenschalen, Lemongras, Minze, Orangenschalen, Zimtrinde, Ingwer u.- Apfelstücke, natürliches Aroma. Minze- Lemon- Geschmack"
115,Kräutertee,Weihnachtskräuter Tee,2.5,4,9,"Zutaten: Anis, Brombeerblätter, Thymian, Basilikum, Himbeerblätter, Hagebutte,Holunderblüte, Konigskerzenblüten, rote Johannisbeeren, Löwenzahnkraut,Pfefferminze, Fenchel, Birkenblätter, Zinnkraut, Sonnenblumenblüten, Melisse, Rosenblüten und Aroma"
116,Kräutertee,Fitness,2.2,4,9,"Apfelstücke, Rooibush, Zimtrinde, Ingwer, Bohnenhülsen, Lemongras, Mistelkraut, Johanniskraut, Johannisblätter, Kardamom, Ginsengwurzeln, Aroma"
117,Kräutertee,Bio Basentee,2.5,4.5,10.5,"Fenchel, Anis, Kümmel, Brombeerblätter"
118,Kräutertee,Entsäuerungstee,2.5,4.5,10,"Pfefferminz, Fenchel, Kümmel, Süßholz, Kamille"
,,,,,,
119,Kräutertee - Monokräuter,Verbenent-Blätter-Tee (Frauen Tee),3,5,11,
120,Kräutertee - Monokräuter,Fenchel,2,3,6,
121,Kräutertee - Monokräuter,Brennessel,2,3.5,8,
122,Kräutertee - Monokräuter,Lemongras,2,3.5,6,
123,Kräutertee - Monokräuter,Pfefferminzblätter,2.4,3.8,9,
124,Kräutertee - Monokräuter,Nanaminz,2,3.5,7,
125,Kräutertee - Monokräuter,Ingwerwurzel,2,3.5,8.5,
126,Kräutertee - Monokräuter,Salbeiblätter,2,3.5,8,
,,,,,,
127,Ayurveda,Ermunternder Tee Kapha,3.25,5.5,12,"Einechter Muntermacher mit ganzer Kardamom, Kurkumawurzeln, Nelken, Muskatnuss, Koriander"
128,"
Ayurveda",Balance Tee Pitta,3.25,5.5,12,"ganzer Kardamom, Süßholzwurzeln, Koriander, Fenchel, Ingwerstücke, Rosenblüten	"
129,Ayurveda,Anti- Strapazen- Tee Vata,3.25,5.5,12,"Zimtstücke, Süßholzwurzeln, Ingwerstücke, Fenchel, Orangenschalen, Kardamom"
,,,,,,
130,Andere_Anbaugebiete,Brasil Mate grün,2,3,7,"vom Yerba – Strauch, Koffeinhaltig, helle Tasse "
131,Andere_Anbaugebiete,Lapacho (Inka Tee) ,2.5,4,9,"Südamerikanischer Rindentee, auch Inka Tee genannt"
132,Andere_Anbaugebiete,Pu Erh Tee,2.75,5,10,Das Fett –Weg –Getränk aus_China
133,Andere_Anbaugebiete,Super Body Fit,3,5.5,12.5,"Pu-Erh Tee, Matetee, Orangenschalen, Sonnenblumen u. Kornblumenblüten, Aroma"
,,,,,,
134,Roonefeldt - Schwarztee,Darjeeling Margaret's Hope FTGFOP,,8.5,,Aus einem bevorzugten Teegarten im North Valley für körperreichen und aromatischen Second-Flush-Darjeeling auch für kalkhaltiges Wasser geeignet. 
135,Roonefeldt - Schwarztee,Assam Bari (ex Mokalbarie) GFBOP,,10.6,,"Ein Klassiker unter den Broken-Tees: Viele goldene Tips, malzig-würziges und lebendiges Aroma zeichnen diesen Assam-Tee aus."
136,Roonefeldt - Aromatisierter_Schwarztee,Special Earl Grey ,,4.8,,"Aromatisierter Schwarzer Tee mit Bergamottegeschmack Frisches Bergamotte-Aroma in verführerischer Verbindung mit wertvollen Tees aus Indien kräftig und intensiv im Geschmack. "
137,Roonefeldt - Aromatisierter_Grüner_und_Weißertee,Morgentau,,5.6,,"Aromatisierter Grüner Tee mit Mango-Zitrusgeschmack Faszinierende Komposition mit großblättrigem Sencha und ungewöhnlich fein-fruchtigen Aromen und Blüten. Mit: Grüner Tee, Aroma, Sonnenblumen-, Rosen-, Kornblumenblüten"
138,Roonefeldt - Aromatisierter_Grüner_und_Weißertee,Pfirsischblüte,,5,,"Aromatisierte Mischung aus Grünem Tee und Fruchtstückchen, Pfirsichgeschmack Feiner Sencha komponiert mit Früchten und Blüten, eingehüllt in ein zartes, duftiges Pfirsicharoma. Mit:  Grüner Tee (80%), Mangostückchen (Mango, Zucker), Pfirsichstückchen (Pfirsich, Reismehl), Aroma, Rosenblüten"
139,Roonefeldt - Aromatisierter_Grüner_und_Weißertee,Japanisches Geheimnis,,5.5,,"Aromatisierte Grünteemischung mit Erdbeergeschmack .Die leicht süßliche Note des Genmaicha mit seinem gerösteten Naturreis wird ergänzt durch einen klaren Senchageschmack und gekrönt von fruchtigem Erdbeer-Flavour. Mit: Grüner Tee, gerösteter Reis, Aroma, Erdbeerstückchen"
140,Roonefeldt - Aromatisierter_Grüner_und_Weißertee,Weisser Mangotraum ,,6.7,,"Aromatisierter Weißer Tee mit Mango-Bergamottegeschmack .
Reife Mango und ein Hauch von Zitrus legen sich nachhaltig über den fein-blumigen weißen Pai Mu Tan. Ein leichter und duftiger Tee, der wenig Tannin enthält. 
Mit: Weißer Tee (Pai Mu Tan), Aroma
"
141,Roonefeldt - Rooibush,Rooibos Orange-Sahne ,,4.9,,"Aromatisierter Kräutertee mit Orange-Sahnegeschmack Das ist der nachhaltige Geschmack des Südens: Verführerische Orangenfrische und samtige Vanille-Sahne auf herzhaftem Rooibos. Mit: Rooibos, Aroma, Orangenschale, Vanillestückchen"
142,Roonefeldt - White Peach,White Peach,,4.1,,"Aromatisierter Früchtetee mit Pfirsichgeschmack Ein heller, angenehm weicher Früchtetee, dessen pikant-süßliche Pfirsichnote ideal mit der zarten Spritzigkeit der Zitronenmyrte harmoniert. Mit: Apfel-, Ananasstückchen (Ananas, Zucker), Hagebuttenschale, Pfirsichstückchen (Pfirsich, Reismehl), Aroma, Sonnenblumen-, Rosenblüten, Zitronenmyrte, Kornblumenblüten"
143,Roonefeldt - Kräutertee,Ingwer Zitronenmyrte ,,4.9,,"Harmonisches Zusammenspiel  der angenehm, frischen Schärfe des Ingwer und duftender Zitronenmyrte – das perfekte Genussduett. Zutaten: Ingwer** (92%), Zitronenmyrte** (8%) Bio-Zertifizierung"
144,Roonefeldt - Kräutertee,Ingwer auf Kräutern ,,4.9,,"Ein richtiger Wellness-Tee mit echter Ingwerwurzel und Kräutern, die wohltun und einen frischen und frohen Tag erleben lassen. Zutaten: Ingwer, Anis, Fenchel, Süßholzwurzel, Zitronengras, schwarze Pfefferkörner, Zimtstückchen, Kamillenblüten, süße Brombeerblätter, Rosenblüten, Zitronenverbene"
145,Roonefeldt - Kräutertee,Orange auf Kräutern,,4.9,,"Eine dezente Zitrusfrische liegt über diesem eleganten Kräutertee mit angenehm fruchtigem Aroma und der reifen Süße von Orangen.Zutaten: Apfelstückchen, Zitronenverbene, Zitronengras, Zitronenschale, Zitronenmyrte, Orangensaftstückchen, Orangenstücke, Ringelblumenblüten"
146,Roonefeldt - Kräutertee,Ginger & Lemon ,,4.9,,"Charaktervoller Kräutertee mit der fruchtigen Schärfe des Ingwers, unterstützt durch die zitronige Frische von Zitronengras und aromareicher Minze. Zutaten: Ingwer, Zitronengras, Zitronenschale, Süßholzwurzel, Krauseminze, Kornblumenblüten, rosa Pfeffer"
147,Roonefeldt - Kräutertee,Schlummertrunk,,4.9,,"Wohltuende Mischung beruhigender Kräuter, die auf natürliche Art den Tag ausklingen lässt.Zutaten: Kamillenblüten**, Pfefferminz-**, Melissen-**, Erdbeerblätter**, Fenchel**, Orangenblüten**, schwarze Johannisbeerblätter**, Lavendel-**, Rosenblüten**Bio-Zertifizierung"
148,Roonefeldt - Kräutertee,Ingwer Zitronenmyrte ,,4.9,,Harmonisches Zusammenspiel der angenehm frischen Schärfe des Ingwer und duftender Zitronenmyrte - das pefekte Genussduett.
149,Roonefeldt - Kräutertee,Lavendeltraum,,4.9,,"Angenehm würziger Thymian trifft auf sanften Lavendel. Genießen Sie Yin und Yang – eine harmonische Verbindung, die durch die leichte Spritzigkeit der Zitronenmyrte abgerundet wird."